input_id,topology_id,distribution,optimizer,parameter_set,space_m,node_count,seed,transmission_range_m,packet_size_bits,initial_energy_j,max_rounds,min_alive_ratio,alpha_weight,beta_weight,gamma_weight,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,pso_inertia,pso_c1,pso_c2,pso_omega,contention_penalty_factor,contention_reference_degree,contention_max_multiplier
gaussian_s100_n50_seed4000_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4000,gaussian,leach,baseline,100,50,4000,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,baseline,100,50,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,baseline,100,50,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,energy_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,energy_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,distance_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,distance_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,balanced_low_omega,100,50,4001,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4001_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,pso,balanced_low_omega,100,50,4001,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,baseline,100,50,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,baseline,100,50,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,energy_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,energy_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,distance_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,distance_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,balanced_low_omega,100,50,4001,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4001_ga_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,ga,balanced_low_omega,100,50,4001,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,baseline,100,50,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,baseline,100,50,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,energy_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,energy_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,distance_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,distance_focused,100,50,4001,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,balanced_low_omega,100,50,4001,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4001_de_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,de,balanced_low_omega,100,50,4001,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4001_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4001,gaussian,leach,baseline,100,50,4001,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,baseline,100,50,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,baseline,100,50,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,energy_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,energy_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,distance_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,distance_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,balanced_low_omega,100,50,4002,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4002_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,pso,balanced_low_omega,100,50,4002,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,baseline,100,50,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,baseline,100,50,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,energy_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,energy_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,distance_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,distance_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,balanced_low_omega,100,50,4002,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4002_ga_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,ga,balanced_low_omega,100,50,4002,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,baseline,100,50,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,baseline,100,50,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,energy_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,energy_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,distance_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,distance_focused,100,50,4002,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,balanced_low_omega,100,50,4002,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4002_de_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,de,balanced_low_omega,100,50,4002,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4002_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4002,gaussian,leach,baseline,100,50,4002,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,baseline,100,50,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,baseline,100,50,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,energy_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,energy_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,distance_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,distance_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,balanced_low_omega,100,50,4003,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4003_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,pso,balanced_low_omega,100,50,4003,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,baseline,100,50,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,baseline,100,50,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,energy_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,energy_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,distance_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,distance_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,balanced_low_omega,100,50,4003,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4003_ga_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,ga,balanced_low_omega,100,50,4003,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,baseline,100,50,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,baseline,100,50,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,energy_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,energy_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,distance_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,distance_focused,100,50,4003,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,balanced_low_omega,100,50,4003,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4003_de_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,de,balanced_low_omega,100,50,4003,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4003_leach_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4003,gaussian,leach,baseline,100,50,4003,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,baseline,100,50,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,baseline,100,50,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_energy_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,energy_focused,100,50,4004,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,20,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_energy_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,energy_focused,100,50,4004,200.0,6400,0.5,5000,0.95,0.75,0.15,0.1,0.2,0.4,30,50,0.7,1.5,1.5,0.5,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_distance_focused_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,distance_focused,100,50,4004,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,20,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_distance_focused_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,distance_focused,100,50,4004,200.0,6400,0.5,5000,0.95,0.35,0.45,0.2,0.2,0.4,30,50,0.7,1.5,1.5,0.8,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,balanced_low_omega,100,50,4004,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,20,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4004_pso_balanced_low_omega_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,pso,balanced_low_omega,100,50,4004,200.0,6400,0.5,5000,0.95,0.34,0.33,0.33,0.2,0.4,30,50,0.5,1.5,1.5,0.4,0.01,10.0,4.0
gaussian_s100_n50_seed4004_ga_baseline_r200p0_pkt6400_e0p5_p20_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,ga,baseline,100,50,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,20,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
gaussian_s100_n50_seed4004_ga_baseline_r200p0_pkt6400_e0p5_p30_c1p5_1p5,gaussian_s100_n50_seed4004,gaussian,ga,baseline,100,50,4004,200.0,6400,0.5,5000,0.95,0.6,0.25,0.15,0.2,0.4,30,50,0.7,1.5,1.5,0.65,0.01,10.0,4.0
